Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"D1, D2",2,"Vermelho LED"
"D5, D8",2,"Verde LED"
"D7",1,"Amarelo LED"
"R1, R2, R3, R4, R5",5,"10 kΩ Resistor"
